time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0,-0.0033716,0.0239756,-0.000958312,0.00918821,-0.00479008,-0.0263753,-0.00187369,0.00371546,0.00344006,-0.0156909,0.00315907,7.23E-05
0.001,-0.00250287,0.0302258,-0.00132152,0.00375701,0.0258489,-0.0661196,-0.00561796,0.00184736,0.000227795,0.0254321,-0.00330934,0.0890078
0.002,0.000572014,0.0287794,-0.00842052,-0.00836198,0.02283,-0.0249739,-0.00177014,-0.00784991,0.00632153,-0.0271484,0.0354916,0.0292937
0.003,0.00189059,0.0263385,-0.00950234,0.00181528,0.0203625,0.0779492,-0.0101788,-0.00708613,0.00860327,-0.0792045,0.0332054,-0.0181873
0.004,-0.00128878,-0.0241199,-0.0259902,0.0229888,0.0367748,0.102992,-0.0122369,-0.00564537,-0.00116462,-0.0731147,0.00356328,0.022286
0.005,-0.00316277,-0.0969895,-0.00147976,0.0148637,0.0278194,0.0175895,-0.00367672,-0.00812023,-0.00680747,-0.0342374,-0.00431392,0.0344691
0.006,-0.00189493,-0.128194,0.0652004,0.0116021,-0.0126175,-0.133333,-0.00219901,-0.0129959,-0.0104614,0.0154563,-0.000516135,0.0189934
0.007,0.000384827,-0.101223,0.0555844,-0.0164236,-0.0290116,-0.161109,0.000438646,-0.0208887,-0.00601962,0.00853971,-0.0116133,0.00486014
0.008,0.00307315,-0.0809935,-0.00324141,-0.022548,-0.0180226,-0.0451808,0.00118828,-0.0235576,0.00133642,-0.00277998,0.00174577,-0.00823606
0.009,0.000378507,-0.0313578,-0.0524696,-0.0138128,0.0114912,0.0128902,0.00707279,-0.0145827,-0.00333753,0.00745628,0.00750188,-0.00473464
0.01,0.00329351,0.00879658,-0.0845621,-0.0381444,0.0253468,-0.0574987,0.014127,0.0115497,-0.0124007,0.00935717,-0.00168415,0.00284926
0.011,0.0106023,0.0369162,-0.0391632,-0.00765254,0.00492336,-0.0135134,0.017466,0.0246515,-0.0151577,0.00476734,0.0211688,0.00688466
0.012,0.0094896,0.0977474,0.00922199,0.0340304,-0.0174413,0.0342931,0.0112832,0.022913,-0.0106738,0.00163162,0.0208021,0.0018762
0.013,0.00819355,0.119739,0.0266956,0.0414422,-0.0170404,0.119414,0.00319241,0.00787188,-0.0141819,0.00453505,0.00817423,0.0107081
0.014,0.00731803,0.110641,0.0165941,0.0484558,-0.0182965,0.240832,0.00293848,-0.0262665,0.00608872,0.00951545,-0.017666,0.020555
0.015,0.00624179,0.0894414,0.0075762,0.0309402,-0.0297539,0.136533,-0.00720302,-0.0468447,0.0196556,0.00467325,-0.0213551,0.0222477
0.016,0.00769665,0.0274657,0.0112019,-0.0300673,-0.0159999,0.102595,-0.0187107,-0.025162,0.023805,0.00892865,-0.0191,0.00965991
0.017,0.00739154,-0.0331977,0.017357,-0.0241414,-0.00630887,0.10725,-0.0166506,0.000358268,0.0261913,0.0103748,-0.0264876,-0.0266995
0.018,-0.0014096,-0.0681754,0.0171411,-0.0325062,-0.00339581,0.0741128,-0.0230078,0.00564828,0.017062,0.00534038,-0.0239975,-0.00660039
0.019,-0.00988078,-0.0735294,-0.00293118,-0.0231506,-0.012412,0.0167742,-0.0231362,0.00631738,0.010457,-0.000999666,-0.0134598,-0.00209346
0.02,-0.00705918,-0.0562795,-0.0233905,-0.00952162,-0.00462973,-0.0243512,-0.0222149,-0.00338872,0.0118618,0.000189123,-0.014699,-0.00465677
0.021,-0.00608818,-0.0279903,-0.0595553,-0.0853148,0.0126706,-0.0729481,-0.0180872,-0.00847336,0.0157681,0.000345038,-0.023116,0.0152913
0.022,-0.00637429,-0.00447182,-0.0684401,-0.0259045,0.01695,-0.107216,-0.0140784,0.0094176,0.000486542,-0.00299005,-0.00694166,0.0211069
0.023,-0.00609976,0.00580593,-0.0366367,0.00608332,0.0113006,-0.0567977,-0.00495975,0.0329317,-0.00837395,0.00176431,0.0109734,0.00818487
0.024,-0.00771601,0.00383924,0.00351336,-0.00455918,0.0250528,0.023884,-0.00258553,0.0349448,-0.00534772,0.0176433,0.00930759,-0.0299174
0.025,-0.00878803,0.00710372,0.0123612,-0.0235941,0.0521263,-0.0492691,0.00225093,0.00937735,-0.0048039,0.00434381,-0.00823739,-0.0483715
0.026,-0.00626649,0.0172027,0.00641604,-0.0414979,0.0409533,-0.0437699,0.0144847,0.00171279,-0.00951166,0.00273676,-0.0147676,-0.0450622
0.027,-0.00320179,0.0247478,0.0024894,0.0718077,0.00952758,-0.00422047,0.0243994,0.0143957,-0.0127759,0.00760673,-0.00474946,-0.0538644
0.028,0.0028519,0.0258353,0.0167787,0.0603476,-0.0159338,-0.0225102,0.0305113,0.0291126,-0.00789706,0.00152838,0.0032454,-0.0100563
0.029,0.00152418,0.0235691,0.0511321,-0.017838,-0.0238685,0.0282963,0.0340714,0.0312043,-0.0128895,0.00461121,0.0263535,0.0113308
0.03,-0.00199123,0.0234814,0.0597771,-0.00889969,-0.0118657,0.0154278,0.0234978,0.023394,-0.0115819,-0.00179518,0.073771,0.0137056
0.031,-0.00494219,0.022852,-0.0128447,-0.00100176,0.000520712,-0.0351961,0.0216789,0.017546,-0.0128217,-0.0125378,0.0893675,0.0074945
0.032,-0.00060847,0.0204743,-0.0526267,0.0217596,-0.018464,-0.0204463,0.0163934,0.0221551,-0.0141582,-0.0136116,0.0301041,0.0214294
0.033,-0.00088451,0.020623,-0.040983,0.0285937,-0.00809968,0.00381437,-0.00459021,0.00236976,-0.0137444,-0.0270177,-0.015557,0.0338798
0.034,0.000341826,0.028782,-0.0166852,0.0207455,0.01055,0.0113325,-0.00590162,-0.0183794,-0.00301218,-0.0350743,-0.0516399,0.0247299
0.035,0.0055207,0.0266189,-0.00475401,0.0168434,0.0100148,0.00454323,0.0023564,-0.0435176,0.00494368,-0.0179509,-0.0757544,0.0138291
