time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0,0.00411993,-0.00381476,0.0474556,0.00961318,-0.0129702,0.000457768,0.0294499,-0.0260929,0.101778,0.0215152,-0.0166323,0.00228885
0.001,0.0102235,-0.00930801,0.0517281,0.0221256,-0.0157168,-0.00198368,-0.0105287,-0.0148013,0.168612,0.0178531,-0.0254826,0.00259403
0.002,0.0138857,-0.00930801,0.0596628,0.0544747,-0.0132754,-0.00839246,-0.0184634,-0.0105287,0.237583,0.016022,-0.0291447,0.00473029
0.003,0.00442511,-0.0102235,0.0642405,0.119173,-0.00900283,0.00228885,-0.0144961,-0.0062562,0.287938,0.0151064,-0.0459297,-0.000152593
0.004,-0.00167849,-0.00808728,0.0611887,0.153353,-0.0111391,0.00595102,-0.016022,-0.00564584,0.330358,0.0120546,-0.0630198,-0.00747692
0.005,0.0163272,-0.00686656,0.0575265,0.115511,-0.0077821,0.0062562,-0.0242618,-0.0114443,0.363622,0.0132753,-0.0303655,0.00411993
0.006,0.0215152,-0.00869764,0.0575265,0.0242618,-0.0111391,0.000152588,-0.0248722,-0.0129702,0.389258,0.00808728,-0.0114443,0.00228885
0.007,0.0205997,-0.0166323,0.059968,-0.107271,-0.0135805,0.009308,-0.0273137,-0.0120546,0.402991,0.00259403,-0.0108339,0.000762949
0.008,0.0315862,-0.0117494,0.0639353,-0.0801099,-0.00747692,0.0166323,-0.0361639,-0.0181582,0.410925,0.00106813,0.0187686,0.00717174
0.009,0.0453193,-0.00717174,0.0679026,-0.0645457,-0.012665,0.00167849,-0.0401312,-0.0187686,0.412146,-0.000762953,0.04654,0.0120546
0.01,0.0511177,-0.00991837,0.0712596,-0.0679026,-0.00869764,0.00717174,-0.0398261,-0.0190738,0.41001,-0.000762953,0.0459297,0.0157168
0.011,0.0462348,-0.00900283,0.0672923,-0.0978103,-0.0157168,0.00717174,-0.0392157,-0.0144961,0.398718,-0.0047303,0.0321965,0.0141909
0.012,0.0221256,-0.0077821,0.0666819,-0.0514229,-0.0175479,0.00228885,-0.0306706,-0.0157168,0.390478,-0.00442512,0.0367742,0.019379
0.013,-0.00686656,-0.00839246,0.065156,0.00320439,-0.0175479,-0.0032044,-0.0221256,-0.0163272,0.378576,-0.00686656,0.0263981,0.0190738
0.014,-0.00717174,-0.00656138,0.0636301,0.037995,-0.0163272,-0.02121,-0.0257877,-0.0187686,0.360876,-0.0105287,0.0163272,0.0248722
0.015,0.00717174,-0.00656138,0.0578317,0.0447089,-0.00228886,0.00656138,-0.0233463,-0.0242618,0.348974,-0.0117494,0.00503547,0.0233463
0.016,0.0303655,-0.00717174,0.0541695,0.0227359,0.00137331,0.039826,-0.0187686,-0.0184634,0.334936,-0.012665,0.0108339,0.0187686
0.017,0.039826,-0.00381476,0.0502022,-0.000152593,-0.00503548,0.0215152,-0.0349432,-0.0230411,0.315709,-0.0135805,0.0337224,0.0294499
0.018,0.0062562,-0.00595102,0.043183,0.0251774,-0.00503548,0.0148012,-0.0386053,-0.0239567,0.299535,-0.0132754,0.0376898,0.0367742
0.019,0.0148012,-0.00656138,0.0343328,0.0120546,-0.00564584,0.00717174,-0.0370794,-0.0227359,0.284581,-0.0157168,0.0178531,0.0196841
0.02,0.0129702,-0.00869764,0.0303655,0.00869764,-0.00839246,-0.0062562,-0.0358587,-0.0227359,0.268101,-0.0172427,0.00839246,-0.00564584
0.021,-0.0077821,-0.00930801,0.0190738,-0.0392157,-0.0077821,0.00442511,-0.0331121,-0.0224308,0.246433,-0.0205997,0.0383001,0.000457768
0.022,-0.00503548,-0.00900283,0.00961318,0.00473029,-0.0138857,0.00900282,-0.0440986,-0.0233463,0.230869,-0.0230411,0.0138857,-0.00198368
0.023,0.0227359,-0.00991837,0.00106813,0.0474556,-0.0175479,0.00198367,-0.0263981,-0.0215152,0.219883,-0.02121,-0.00656138,0.00350957
0.024,0.0181582,-0.0117494,-0.0047303,-0.00534066,-0.0215152,-0.00106813,-0.00808728,-0.0218204,0.207065,-0.0248722,0.0202945,0.0117494
0.025,-0.0123598,-0.0102235,-0.0114443,-0.0486763,-0.0202945,-0.00534066,0.012665,-0.0239567,0.186923,-0.0270085,0.027924,0.0175479
0.026,-0.0224308,-0.00930801,-0.0209049,-0.130159,-0.0047303,0.00198367,0.0318914,-0.019379,0.167086,-0.0221256,0.0233463,0.0154116
0.027,0.00564584,-0.00747692,-0.0282292,0.00961318,0.00106813,0.00869764,0.0401312,-0.0187686,0.144503,-0.0218204,0.0306706,0.00411993
0.028,0.0233463,-0.00686656,-0.0349432,0.049897,-0.00747692,0.0111391,0.0331121,-0.0236515,0.128328,-0.0227359,0.0428778,0.00503547
0.029,0.0144961,-0.00381476,-0.0428779,0.0486763,-0.0102235,0.00411993,-0.00534066,-0.0254826,0.110323,-0.02121,0.0306706,0.0062562
0.03,0.0062562,-0.00503548,-0.049897,-0.0190738,-0.0117494,0.00411993,-0.031281,-0.0291447,0.090486,-0.0202945,0.0141909,0.0123598
0.031,0.00106813,-0.00839246,-0.0627146,-0.0587472,-0.0114443,0.00411993,-0.019379,-0.0224308,0.0767529,-0.0163272,-0.00289922,0.0123598
0.032,0.00442511,-0.0102235,-0.07187,-0.0645457,-0.0117494,0.00106813,-0.0175479,-0.0190738,0.0608835,-0.0151064,-0.016022,0.0157168
0.033,0.0181582,-0.0132754,-0.080415,-0.0267033,-0.0151064,0.00411993,-0.0248722,-0.0291447,0.0462348,-0.0166323,-0.0489815,0.0184634
0.034,0.0138857,-0.0172427,-0.0874342,0.04654,-0.0196841,0.00503547,-0.0242618,-0.0300603,0.0337224,-0.0163272,-0.056611,0.0230411
0.035,0.00289921,-0.0148013,-0.0929274,0.0584421,-0.0205997,0.00991836,-0.0236515,-0.0328069,0.0239567,-0.0157168,-0.0471504,0.0172427
0.036,-0.00747692,-0.0132754,-0.0953689,0.0840772,-0.0163272,0.0123598,-0.027924,-0.0315862,0.0175479,-0.0163272,-0.0450141,0.0154116
0.037,-0.0199893,-0.016022,-0.0981155,0.0502022,-0.0117494,0.009308,-0.0331121,-0.0321965,0.0129702,-0.0166323,-0.0300603,0.0151064
0.038,-0.0270085,-0.0202945,-0.0990311,-0.00442512,-0.0102235,0.0102235,-0.0428779,-0.0328069,0.00411993,-0.0169375,-0.0221256,0.0151064
0.039,-0.00259404,-0.00869764,-0.100862,0.0102235,-0.00717174,0.0108339,-0.0520333,-0.0297551,-0.00930801,-0.0169375,-0.0270085,0.019379
0.04,0.0328069,-0.00686656,-0.103914,0.0541695,-0.0114443,0.00869764,-0.0492866,-0.0273137,-0.0199893,-0.016022,-0.0163272,0.012665
0.041,0.0138857,-0.00717174,-0.10544,0.123751,-0.0102235,0.00839246,-0.0343328,-0.0230411,-0.0221256,-0.0166323,0.0135805,0.0077821
0.042,-0.00228886,-0.0102235,-0.104829,0.0642405,-0.0129702,0.00228885,-0.0129702,-0.0242618,-0.0233463,-0.0181582,0.0108339,0.00564584
0.043,0.0117494,-0.0114443,-0.104524,-0.0654612,-0.0114443,-0.00198368,0.0062562,-0.0260929,-0.019379,-0.0157168,-0.0340276,0.009308
0.044,0.0434882,-0.0111391,-0.0987259,-0.0639353,-0.00930801,0.00106813,-0.00167849,-0.0254826,-0.0196841,-0.0129702,-0.0654612,0.0141909
0.045,0.0633249,-0.0105287,-0.093843,0.0782788,-0.00930801,-0.000457773,-0.0273137,-0.0190738,-0.0251774,-0.00808728,0.00900282,0.0157168
0.046,0.0505074,-0.0184634,-0.0883497,0.0395209,-0.00808728,0.00656138,-0.0233463,-0.0166323,-0.0297551,-0.00686656,0.153964,0.0230411
0.047,0.0257877,-0.0135805,-0.0886549,-0.0456245,-0.00656138,0.0062562,-0.0032044,-0.0138857,-0.0294499,-0.0077821,0.049897,0.0270085
0.048,0.0123598,-0.016022,-0.0859083,-0.137484,-0.00442512,0.00686656,-0.000152593,-0.0120546,-0.0309758,-0.00839246,-0.0450141,0.0202945
0.049,-0.0318914,-0.0148013,-0.0825513,-0.159457,-0.00564584,0.00442511,0.00961318,-0.0102235,-0.0291447,-0.0062562,-0.0572213,0.0157168
0.05,-0.0492866,-0.00991837,-0.0737011,-0.0773632,-0.0111391,0.00442511,0.0187686,-0.0154116,-0.0239567,-0.0047303,-0.0675975,0.0144961
0.051,-0.0544747,-0.0047303,-0.0703441,-0.0199893,-0.012665,-0.00289922,-0.00198368,-0.0169375,-0.0215152,-0.00259404,-0.0242618,0.0172427
0.052,-0.0538643,-0.00350958,-0.0611887,0.00595102,-0.0108339,0.00228885,-0.0215152,-0.0148013,-0.0215152,0.000152588,0.0209049,0.019379
0.053,-0.0364691,-0.00442512,-0.0550851,0.0315862,-0.0123598,0.00167849,-0.0276188,-0.0175479,-0.0215152,-0.00137331,0.0144961,0.0190738
0.054,-0.0144961,-0.00381476,-0.0492866,0.0621042,-0.0132754,-0.00564584,-0.0331121,-0.0187686,-0.0242618,-0.0032044,-0.0801099,0.0154116
