time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0,-0.00338392,0.00251493,0.00359377,0.00424225,-0.0222521,0.0041574,-0.00191693,-0.00029198,0.00827911,0.00068977,0.0813391,0.00716617
0.001,-0.0251873,-0.00389896,-0.00936106,-0.000971671,0.0633179,-0.0583593,-0.00372456,-0.00361473,0.0159747,-0.00172708,0.167041,-0.00328454
0.002,-0.0306983,0.0127312,-0.00443193,0.00652157,0.0862069,-0.120493,-0.00131482,-0.00204899,0.0167395,-0.000422499,0.0855121,-0.00439966
0.003,-0.0312187,0.0173575,-0.000866855,0.00933543,0.122244,-0.0388826,-0.0056778,0.00285957,0.0118105,0.00154417,-0.0533941,0.00321733
0.004,0.000416052,0.029554,0.00345083,0.00442417,0.130937,0.0368956,-0.00582887,-0.00172578,-0.00612712,0.00111364,-0.167014,0.00584062
0.005,-0.0123795,0.0508785,-0.0015688,0.00186147,-0.00699415,-0.000904477,0.00189444,-0.00361682,-0.00441391,-0.00294254,-0.212334,0.00774911
0.006,-0.00732652,0.0254989,-0.00770478,-0.00109911,-0.120646,0.00547981,-0.00142705,-0.00618883,-0.00105052,4.92E-05,-0.182587,0.00864121
0.007,0.000647306,-0.00477729,-0.0137539,-0.00415318,0.0918021,0.0255098,0.000689203,-0.00701675,-0.0134254,-0.00243086,-0.157274,0.00180294
0.008,0.0118761,0.00123518,-0.0160677,-0.00577506,0.231781,-0.0256799,0.000921746,-0.00702956,-0.0134519,-0.00520108,-0.132794,-0.00239269
0.009,0.0218099,0.0169666,-0.0109913,-0.00443725,0.153985,-0.0428283,-0.000116303,-0.00440625,0.0031571,-0.00368884,0.0907617,-0.00669661
0.01,0.0170429,0.00119571,-0.00798543,0.000779667,0.168661,0.010972,-0.00211715,-0.00739338,0.00468154,-0.00400085,0.145094,-0.0105016
0.011,0.0189513,0.00150541,-0.00857038,-0.0011052,0.0702137,0.0169954,0.00407725,-0.00592348,0.00548421,-0.000950077,0.074489,-0.0107557
0.012,0.0174676,-0.00898798,-0.00693696,-0.0073386,-0.22525,0.00971871,0.00382062,-0.0057952,0.0034465,-0.000944746,0.095612,-0.00989536
