Frame number,403
First frame,1
Point frequency,100
Analog frequency,1000

Time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
s,V,V,V,V,V,V,V,V,V,V,V,V
0,0.000177088,-0.0010041,-0.003223,0.000852277,0.000611083,-0.000895034,-0.00331029,-0.00356718,0.000292809,0.000147198,-0.0103292,0.00315475
0.001,-0.00146127,-0.00332666,0.00277638,0.00222463,0.00655379,-9.22365e-005,-0.000593768,-0.00418767,-0.00240205,-0.00291487,-0.00834383,0.00308081
0.002,-3.94112e-005,-0.00348517,0.00491224,0.00217451,0.00181951,0.00529976,-0.00568822,-0.0017191,-0.000940177,-0.00203031,0.0116126,0.00318093
0.003,0.00261948,-0.00698474,0.000132128,0.000410586,0.0016648,0.00247006,-0.00579342,-0.00502205,-0.00294637,-0.00361134,0.0306361,-0.00141477
0.004,0.00194535,-0.00467958,0.00552405,-0.000307489,0.00639071,0.00210523,-0.00153496,-0.00372893,-0.00444754,-0.000946102,0.0380567,0.00151291
0.005,0.00160727,-0.000849254,0.0100976,-0.00149293,0.00530998,0.0035986,-0.00269163,-0.0042551,-0.00055367,-0.000749453,0.0405859,0.00373554
0.006,0.00222148,0.00175463,0.00713199,-0.0101517,0.000245481,0.00206949,-0.00103492,-0.0072152,-0.00254784,-0.00119033,0.0317938,0.00129643
0.007,0.00135139,-0.00114464,0.00455134,-0.00887351,-0.00209893,0.0011809,-0.00115281,-0.00650725,0.0011765,0.00200427,0.0323924,-0.0018274
0.008,0.00144239,0.00265597,-0.00040511,-0.000996687,-0.00570123,0.00184802,-0.00458053,6.37167e-006,-0.000967226,0.00181569,0.0273696,0.000476757
0.009,0.00524405,0.00186019,-0.00378615,0.000988118,-0.00416214,-0.00172873,-0.000339878,0.00653077,-0.00103374,-0.000535262,-0.00562682,0.00119879
0.01,0.0051284,-0.00323194,-0.00713383,0.00381812,-0.00786509,-0.00558335,-0.00644341,0.00635552,0.000987759,0.00227522,-0.0257856,0.00217873
0.011,0.00109501,-0.0034703,-0.00680031,0.0090419,-0.00979524,-0.000560943,-0.00305964,0.00772187,-0.00343671,0.000175157,-0.035325,0.00495069
0.012,0.00138134,-0.0089301,0.00239088,0.00752441,-0.0084271,0.00418377,0.000957768,0.00696566,0.00401506,0.00140288,-0.0404198,0.00585931
0.013,0.00201635,-0.00557483,0.000288358,0.0111843,-0.00711359,0.00254813,-0.000191655,0.00163988,0.00473832,-0.000452412,-0.0469218,0.00521428
0.014,-0.0034132,-0.00164305,-0.00823358,0.00965765,-0.00828767,0.00185647,0.00111996,0.00119667,0.00362611,-0.00203602,-0.0420459,-0.0036963
0.015,-0.000263277,-0.00323434,-0.00548194,0.00386699,-0.00522275,0.00241259,0.00214414,-0.002919,0.00129706,-0.00579131,-0.00779716,-0.00286611
0.016,0.00413745,-0.00362877,-0.00702593,0.00113964,0.00240245,0.00207761,0.00379394,0.000269029,-0.000105937,-0.00714105,0.01341,0.00373829
0.017,0.00368079,0.000538111,-0.0046274,-0.00340679,0.0051453,0.00450987,0.000267371,-0.000235691,0.00308491,-0.00730385,0.0289116,0.00452107
0.018,0.00141275,0.00134014,-0.00225239,-0.00336352,0.00515968,0.00268489,0.00132549,-0.00902022,0.00263461,-0.000781101,0.026202,-0.00509513
0.019,0.00190374,0.00214308,-0.00264375,-0.00574867,0.007344,-0.000962773,-0.00341324,-0.0126642,0.00159879,0.000838379,-0.000216095,-0.00496851
0.02,0.000872742,0.00478614,-0.00182871,-0.00964351,0.0172037,-0.00338917,-0.00846066,-0.00689915,0.00272669,-0.00152055,-0.000916801,0.000934397
0.021,0.000141535,0.00500347,0.000199411,0.00204815,0.0237591,-0.00368634,-0.00924225,-0.00332096,0.000831673,0.00191753,-0.00399425,0.0010189
0.022,-0.00274102,0.00157907,-0.000824477,0.00583585,0.0175481,-0.00643819,-0.00728354,-0.00161986,0.00323847,0.00261709,-0.00519339,0.00108606
0.023,-0.00229115,0.00153484,-0.000925149,0.00661094,0.00802009,-0.00798639,-0.00410589,-0.00453543,0.00475823,-0.00154914,-0.00483511,-0.00527041
0.024,-0.00553647,0.00487202,0.00143145,0.00499014,-0.00179261,-0.00222819,0.00121422,-0.00351392,0.00416784,0.00163453,-0.00232246,-0.00065238
0.025,-0.00699046,0.0039609,0.00411716,0.00402862,-0.0119136,0.000462268,-0.000468686,0.00176021,0.00329396,0.00241035,-0.00285471,0.000295262
0.026,-0.00513133,-0.00150559,0.00134096,0.00616844,-0.0122947,-0.00113206,0.00306304,-0.00151909,0.000909367,0.0041427,-0.00857742,0.00398572
0.027,-0.00789475,-0.0029855,-0.00231316,-0.00202019,-0.0145511,-0.00395493,0.00266398,0.00466564,0.00249928,0.00592204,-0.0118678,0.00279346
0.028,-0.0064281,0.00134915,-0.000125447,-0.00680739,-0.00770865,-0.00220267,-0.00165673,0.00964417,0.00103539,0.0117193,-0.00906642,0.000383445
0.029,-0.00286183,0.00111955,-0.000635017,-0.00453378,0.00670045,0.000774194,-0.00287144,0.0131199,-0.00501806,0.00932732,-0.00108665,0.00286085
0.03,-0.00145971,-0.00154064,-0.000173379,0.00510492,-0.000624605,0.000100103,-0.0116523,0.012045,-0.00804105,0.00301394,-0.00257119,-0.00442224
0.031,0.00114579,-0.00571838,-0.00117537,0.00837559,-0.0141223,0.00432756,-0.0118129,0.0109952,-0.00346343,0.00162076,0.00174709,-0.00162841
0.032,-0.000527237,-0.00348049,0.00155389,0.00771812,-0.0160931,0.00583369,-0.00455782,0.00233297,-0.00349713,-0.00279792,0.0057732,0.000562371
0.033,-5.85681e-005,-0.00276133,0.00710555,0.0016018,-0.00653268,0.00553882,0.00555596,0.0116805,-0.00539772,-0.00506552,0.00493715,0.00337282
0.034,0.00500454,-0.00233791,0.00877092,-0.00662401,-0.00404689,0.00375032,0.0234333,0.0143011,-0.00977529,-0.00458211,0.00229646,0.000701103
