time,LGLTMED,LRF,LADDLONG,LST,LTA,LGM,RGLTMED,RRF,RADDLONG,RST,RTA,RGM
0,-0.0157657,-0.00417357,0.000567689,-0.000761403,-0.00162632,-0.000905076,-0.00359341,-0.00394622,0.0142281,-0.00159657,-0.00557474,0.00308629
0.001,0.0117528,-0.00358641,-0.00262973,-0.00505245,-0.00576946,-0.00417601,0.000158276,-0.0013048,0.0138535,-0.00165887,-0.0835771,0.00315271
0.002,0.0115601,-0.000661891,-0.00243539,-0.00333852,-0.00793068,-0.00544825,0.000846077,-0.00181401,0.0172659,-0.00115377,-0.0969949,0.00375
0.003,0.00900683,-0.00456935,-0.00131454,-0.00141022,-0.00569029,0.00931385,-0.000623441,-0.00458438,0.0190379,-0.00466634,-0.0347937,0.00580354
0.004,0.0193674,0.00176871,-0.00325725,-0.000173723,-0.00883239,0.0120311,-0.00578496,-0.00628351,0.014649,-0.00457319,0.0176587,0.00596399
0.005,0.0426496,0.0033866,-0.00309699,0.00312778,-0.0106574,0.00330844,-0.00274436,-0.0124268,0.0120821,-0.00362522,0.109901,0.000269077
0.006,0.0651149,0.00668085,-0.00299011,-0.00187167,-0.000189203,0.00297341,-0.00676679,-0.00502706,0.0144293,-0.0045711,0.0824085,-0.00303825
0.007,0.0748334,0.00675448,-0.00234481,0.000707132,0.0033391,-0.00058309,-0.00351255,-0.000883449,0.0125682,-0.00649507,-0.0586595,-0.000293377
0.008,0.045501,-0.00159736,-0.00392472,0.00324428,0.010908,0.00422208,0.00274431,-0.00397453,0.0107972,-0.00634247,-0.0730937,-0.000954014
0.009,0.00479963,-0.00527064,-0.00957611,-0.000964999,0.00664031,-0.00368307,-0.00111912,-0.000881734,0.00822036,-0.00319198,0.0318202,-0.00318551
0.01,-0.0183891,-0.00916678,-0.00222156,0.00151585,0.0115817,-0.00630757,-0.000454026,-0.00198933,0.00973424,0.000218278,0.0711945,-0.00118506
0.011,-0.0269287,-0.00689304,-0.00597999,0.00184468,0.00862561,0.00152291,-0.00349998,-0.00211631,0.00619228,0.00298279,0.053925,0.00169555
0.012,-0.0578558,-0.00151374,-0.00804062,0.000944549,-0.00835235,-0.00309237,-0.00354199,-0.0061515,0.00400778,0.000839243,0.0154347,-0.000641543
